"X","Y","Z","ReturnNumber","NumberOfReturns","Classification"
309228.400,6143495.750,466.930,1.000,3.000,5.000
309228.280,6143496.060,465.350,2.000,3.000,5.000
309228.410,6143495.520,467.270,1.000,3.000,5.000
309228.280,6143495.850,465.620,2.000,3.000,5.000
309228.380,6143495.410,467.090,1.000,2.000,5.000
309228.270,6143495.680,465.690,2.000,2.000,5.000
309228.390,6143495.170,467.480,1.000,3.000,5.000
309227.980,6143496.220,462.070,2.000,3.000,5.000
309227.740,6143496.830,458.930,3.000,3.000,2.000
309228.360,6143495.070,467.190,1.000,4.000,5.000
309228.240,6143495.360,465.690,2.000,4.000,5.000
309228.010,6143495.960,462.590,3.000,4.000,5.000
309227.730,6143496.660,458.940,4.000,4.000,2.000
309228.210,6143495.250,465.470,1.000,3.000,5.000
309227.960,6143495.880,462.200,2.000,3.000,5.000
309227.720,6143496.500,458.990,3.000,3.000,2.000
309228.190,6143495.100,465.390,1.000,3.000,5.000
309227.940,6143495.740,462.080,2.000,3.000,5.000
309227.700,6143496.330,458.990,3.000,3.000,2.000
309228.180,6143494.940,465.430,1.000,3.000,5.000
309227.910,6143495.610,461.890,2.000,3.000,5.000
309227.690,6143496.170,459.000,3.000,3.000,2.000
309227.820,6143495.630,460.970,1.000,2.000,5.000
309227.670,6143496.010,458.970,2.000,2.000,2.000
309227.650,6143495.840,458.980,1.000,1.000,2.000
309227.640,6143495.680,458.980,1.000,1.000,2.000
309227.620,6143495.510,459.010,1.000,1.000,2.000
309227.610,6143495.350,459.000,1.000,1.000,2.000
309228.000,6143494.190,464.370,1.000,2.000,5.000
309227.590,6143495.180,459.020,2.000,2.000,2.000
309227.990,6143494.030,464.350,1.000,2.000,5.000
309227.580,6143495.020,459.020,2.000,2.000,2.000
309227.560,6143494.840,459.030,1.000,1.000,2.000
309227.550,6143494.680,459.060,1.000,1.000,2.000
309227.530,6143494.510,459.080,1.000,1.000,2.000
309227.520,6143494.350,459.080,1.000,1.000,2.000
309227.500,6143494.180,459.080,1.000,1.000,2.000
309227.490,6143494.010,459.140,1.000,1.000,2.000
309227.490,6143493.840,459.200,1.000,1.000,2.000
309227.480,6143493.660,459.270,1.000,1.000,2.000
309227.460,6143493.500,459.240,1.000,1.000,2.000
309227.450,6143493.340,459.250,1.000,1.000,2.000
309227.430,6143493.170,459.260,1.000,1.000,2.000
309227.420,6143493.010,459.300,1.000,1.000,2.000
309227.410,6143492.830,459.360,1.000,1.000,2.000
309227.420,6143492.620,459.680,1.000,1.000,1.000
309227.410,6143492.440,459.750,1.000,1.000,1.000
309227.390,6143492.280,459.700,1.000,1.000,1.000
309227.370,6143492.130,459.660,1.000,1.000,1.000
309227.350,6143491.970,459.600,1.000,1.000,1.000
309227.340,6143491.810,459.630,1.000,1.000,1.000
309227.320,6143491.640,459.630,1.000,1.000,1.000
309227.300,6143491.490,459.590,1.000,1.000,1.000
309227.270,6143491.350,459.410,1.000,1.000,2.000
309227.260,6143491.200,459.380,1.000,1.000,2.000
309227.700,6143490.090,465.220,1.000,2.000,5.000
309227.240,6143491.040,459.350,2.000,2.000,2.000
309227.820,6143489.680,466.800,1.000,2.000,5.000
309227.220,6143490.880,459.360,2.000,2.000,2.000
309227.820,6143489.490,467.020,1.000,3.000,5.000
309227.660,6143489.800,465.050,2.000,3.000,5.000
309227.210,6143490.710,459.390,3.000,3.000,2.000
309227.820,6143489.300,467.170,1.000,2.000,5.000
309227.610,6143489.710,464.640,2.000,2.000,5.000
309227.800,6143489.160,467.060,1.000,3.000,5.000
309227.630,6143489.480,465.090,2.000,3.000,5.000
309227.180,6143490.390,459.400,3.000,3.000,2.000
309227.770,6143489.040,466.880,1.000,3.000,5.000
309227.620,6143489.320,465.100,2.000,3.000,5.000
309227.170,6143490.220,459.430,3.000,3.000,2.000
309227.750,6143488.900,466.810,1.000,3.000,5.000
309227.580,6143489.210,464.830,2.000,3.000,5.000
309227.150,6143490.050,459.430,3.000,3.000,2.000
309227.600,6143488.980,465.330,1.000,2.000,5.000
309227.130,6143489.890,459.430,2.000,2.000,2.000
309227.720,6143488.570,466.900,1.000,3.000,5.000
309227.580,6143488.840,465.170,2.000,3.000,5.000
309227.120,6143489.730,459.450,3.000,3.000,2.000
309227.720,6143488.400,466.990,1.000,2.000,5.000
309227.370,6143489.050,462.790,2.000,2.000,5.000
309227.680,6143488.290,466.740,1.000,3.000,5.000
309227.610,6143488.420,465.870,2.000,3.000,5.000
309227.380,6143488.850,463.070,3.000,3.000,5.000
309227.640,6143488.180,466.450,1.000,3.000,5.000
309227.570,6143488.310,465.580,2.000,3.000,5.000
309227.070,6143489.260,459.380,3.000,3.000,2.000
309227.690,6143487.910,467.180,1.000,2.000,5.000
309227.400,6143488.440,463.700,2.000,2.000,5.000
309227.660,6143487.780,467.030,1.000,1.000,5.000
